Timestamp,"1.	The COVID-19 crisis is worse than I expected.","2.	I have confidence that we can contain the coronavirus before June 1st.","3.	I travel or attend social gatherings.","4.	I wear face masks when going to public places.","5.	What is your main reason for wearing face masks?","If other, please specify:",What is your main reason for not wearing face masks?,"If other, please specify","6.	I stay away from people who wear masks.","7.	I stay away from Asians.","8.	Do you agree with Prince George’s County’s requirement for people to wear face coverings in local grocery stores and pharmacies?","9.	Share any thoughts, questions, or concerns that you have about this universal masking policy in PG County. ","10.	Please identify your ethnicity."
2020/04/14 3:42:36 PM AST,Strongly Agree,Agree,Completely avoid them,No,,,Only sick people need to wear it and I am not,,Yes,No,Neutral,,White
2020/04/14 3:43:05 PM AST,Agree,Agree,Completely avoid them,Yes,Self-protection,,,,No,No,Strongly Agree,,Black or African American
2020/04/14 3:43:06 PM AST,Agree,Strongly Disagree,Completely avoid them,Yes,Protect others from (potentially) being infected by me,,,,No,No,Strongly Agree,,White
2020/04/14 3:43:16 PM AST,Strongly Agree,Disagree,Completely avoid them,No,,,I don’t know where to get them,,No,No,Agree,,Asian
2020/04/14 3:44:39 PM AST,Agree,Disagree,Completely avoid them,Yes,Self-protection,,,,Yes,No,Agree,"Health care workers not being protected should be top priority but masks are running out, and people panic buying is concerning",White
2020/04/14 3:45:16 PM AST,Strongly Agree,Strongly Disagree,Completely avoid them,No,,,Afraid of being discriminated,,Yes,No,Strongly Agree,,White
2020/04/14 3:45:38 PM AST,Strongly Disagree,Strongly Disagree,Completely avoid them,Yes,fwfwf,,,,No,No,Strongly Agree,,Asian
2020/04/14 3:45:40 PM AST,Strongly Agree,Disagree,Completely avoid them,No,,,Only sick people need to wear it and I am not,,Yes,No,Neutral,,White
2020/04/14 3:46:26 PM AST,Agree,Disagree,Completely avoid them,No,,,"I can't get them, they are out",,No,No,Agree,,White
2020/04/14 3:51:48 PM AST,Agree,Disagree,Completely avoid them,Yes,Protect others from (potentially) being infected by me,,,,No,No,Neutral,I don’t live in pg county so I have no opinion,Black or African American
2020/04/14 3:52:07 PM AST,Agree,Neutral,Completely avoid them,No,,,They're out and I haven't gone anywhere since school ended,,Yes,No,Agree,It's coming a bit late and where are we supposed to get masks?,Black or African American
2020/04/14 3:52:56 PM AST,Disagree,Strongly Agree,Less than or equal to once a week,Yes,Protect others from (potentially) being infected by me,,,,No,No,Neutral,,White
2020/04/14 3:53:12 PM AST,Strongly Disagree,Strongly Agree,More than that,No,,,Only sick people need to wear it and I am not,,Yes,Yes,Strongly Disagree,China flu is out of hand in fake news media,White
2020/04/14 3:57:05 PM AST,Agree,Neutral,Completely avoid them,Yes,Self-protection,,,,No,Yes,Strongly Agree,Freedoms and mental health,White
2020/04/14 4:01:02 PM AST,Strongly Agree,Disagree,Completely avoid them,No,,,Only sick people need to wear it and I am not,,No,No,Agree,"I agree with the policy because I don’t trust others and if someone is sick, even with a cold, they shouldn’t be able to cough on anyone by mistake. I agree with wearing a facial covering in case I am sick, but I don’t wear masks because I don’t want to exhaust masks by taking them away from workers and patients that really need them. ",Asian
2020/04/14 4:02:01 PM AST,Strongly Agree,Agree,Completely avoid them,Yes,"both self-protection, protect others from being infected by me.",,,,No,No,Strongly Agree,It is not a joke and yet a lot of people seems not to care when they come out. Please inform more and have officers patrol around and educate people to be more careful. ,Asian
